,Country,Population
0,China,1401928520
1,India,1360255195
2,United States,329516498
3,Indonesia,266911900
4,Pakistan,219071520
5,Brazil,211305822
6,Nigeria,206139587
7,Bangladesh,168332538
8,Russia,146745098
9,Mexico,126577691
10,Japan,125950000
11,Philippines,108455678
12,Egypt,100169235
13,Ethiopia,98665000
14,Vietnam,96208984
15,DR Congo,89561404
16,Iran,83311966
17,Turkey,83154997
18,Germany,83149300
19,France,67069000
20,Thailand,66485892
21,United Kingdom,66435600
22,Italy,60243406
23,South Africa,58775022
24,Tanzania,55890747
25,Myanmar,54339766
26,South Korea,51780579
27,Colombia,49395678
28,Kenya,47564296
29,Spain,47100396
30,Argentina,44938712
31,Algeria,43000000
32,Sudan,42374695
33,Ukraine,41879904
34,Uganda,40299300
35,Iraq,39127900
36,Poland,38386000
37,Canada,37970905
38,Morocco,35849953
39,Saudi Arabia,34218169
40,Uzbekistan,34090725
41,Malaysia,32730760
42,Afghanistan,32225560
43,Venezuela,32219521
44,Peru,32131400
45,Angola,31127674
46,Ghana,30280811
47,Mozambique,30066648
48,Yemen,29825968
49,Nepal,29609623
50,Cameroon,26545864
51,Ivory Coast,25823071
52,Madagascar,25680342
53,Australia,25658137
54,North Korea,25450000
55,Taiwan,23604265
56,Niger,22314743
57,Sri Lanka,21803000
58,Burkina Faso,20870060
59,Mali,19973000
60,Romania,19405156
61,Malawi,19129952
62,Chile,19107216
63,Kazakhstan,18670160
64,Syria,17500657
65,Ecuador,17451992
66,Netherlands,17448581
67,Zambia,17381168
68,Guatemala,16604026
69,Senegal,16209125
70,Somalia,15893219
71,Chad,15692969
72,Cambodia,15288489
73,Zimbabwe,15159624
74,South Sudan,12778250
75,Rwanda,12374397
76,Guinea,12218357
77,Benin,11733059
78,Tunisia,11722038
79,Haiti,11577779
80,Belgium,11524454
81,Bolivia,11469896
82,Cuba,11209628
83,Burundi,10953317
84,Greece,10724599
85,Czech Republic,10693939
86,Jordan,10644328
87,Dominican Republic,10358320
88,Sweden,10333456
89,Portugal,10276617
90,Azerbaijan,10067108
91,United Arab Emirates,9890400
92,Hungary,9772756
93,Belarus,9413446
94,Israel,9176850
95,Honduras,9158345
96,Tajikistan,9127000
97,Papua New Guinea,8935000
98,Austria,8902600
99,Switzerland,8586550
100,Sierra Leone,7901454
101,Togo,7538000
102,Hong Kong (China),7500700
103,Paraguay,7152703
104,Laos,7123205
105,Bulgaria,7000039
106,Serbia,6963764
107,Libya,6871287
108,Lebanon,6825442
109,Kyrgyzstan,6523500
110,El Salvador,6486201
111,Nicaragua,6460411
112,Turkmenistan,6031187
113,Denmark,5822763
114,Singapore,5703600
115,Finland,5527573
116,Congo,5518092
117,Central African Republic,5496011
118,Slovakia,5456362
119,Norway,5367580
120,Costa Rica,5058007
121,Palestine,4976684
122,New Zealand,4973226
123,Ireland,4921500
124,Oman,4664790
125,Liberia,4475353
126,Kuwait,4420110
127,Panama,4218808
128,Mauritania,4077347
129,Croatia,4076246
130,Georgia,3723464
131,Uruguay,3518552
132,Eritrea,3497117
133,Mongolia,3309443
134,Bosnia and Herzegovina,3301000
135,Puerto Rico (US),3193694
136,Armenia,2957500
137,Albania,2845955
138,Lithuania,2793471
139,Qatar,2747282
140,Jamaica,2726667
141,Moldova,2681735
142,Namibia,2458936
143,Gambia,2347706
144,Botswana,2338851
145,Gabon,2172579
146,Slovenia,2094060
147,North Macedonia,2077132
148,Lesotho,2007201
149,Latvia,1906800
150,Kosovo,1795666
151,Guinea-Bissau,1604528
152,Bahrain,1543300
153,East Timor,1387149
154,Trinidad and Tobago,1363985
155,Equatorial Guinea,1358276
156,Estonia,1328360
157,Mauritius,1265985
158,Eswatini,1093238
159,Djibouti,1078373
160,Fiji,884887
161,Cyprus,875900
162,Comoros,873724
163,Guyana,782766
164,Bhutan,741672
165,Solomon Islands,680806
166,Macau (China),679600
167,Montenegro,622359
168,Luxembourg,613894
169,Western Sahara,582463
170,Suriname,581372
171,Cape Verde,550483
172,Malta,493559
173,Transnistria,469000
174,Brunei,442400
175,Belize,408487
176,Bahamas,385340
177,Maldives,374775
178,Iceland,364260
179,Northern Cyprus,351965
180,Vanuatu,304500
181,Barbados,287025
182,New Caledonia (France),282200
183,French Polynesia (France),275918
184,Abkhazia,244832
185,São Tomé and Príncipe,201784
186,Samoa,200874
187,Saint Lucia,178696
188,Guam (US),172400
189,Curaçao (Netherlands),158665
190,Artsakh,148000
191,Kiribati,120100
192,Aruba (Netherlands),112309
193,Grenada,112003
194,Saint Vincent and the Grenadines,110608
195,Jersey (UK),106800
196,U.S. Virgin Islands (US),104578
197,F.S. Micronesia,104468
198,Tonga,100651
199,Seychelles,97625
200,Antigua and Barbuda,96453
201,Isle of Man (UK),83314
202,Andorra,77543
203,Dominica,71808
204,Cayman Islands (UK),65813
205,Bermuda (UK),64027
206,Guernsey (UK),62792
207,American Samoa (US),56700
208,Greenland (Denmark),56081
